Logging to experiments/20250223_030933
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 41.9     |
|    ep_rew_mean     | 0.41     |
| time/              |          |
|    fps             | 1079     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 2048     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 47.9        |
|    ep_rew_mean          | 0.372       |
| time/                   |             |
|    fps                  | 766         |
|    iterations           | 2           |
|    time_elapsed         | 5           |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.009890184 |
|    clip_fraction        | 0.0688      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.94       |
|    explained_variance   | 0.00842     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00474    |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00766    |
|    value_loss           | 0.0366      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | 0.393       |
| time/                   |             |
|    fps                  | 705         |
|    iterations           | 3           |
|    time_elapsed         | 8           |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.010509534 |
|    clip_fraction        | 0.0739      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.93       |
|    explained_variance   | 0.313       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0082      |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00952    |
|    value_loss           | 0.0214      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 43.2        |
|    ep_rew_mean          | 0.356       |
| time/                   |             |
|    fps                  | 662         |
|    iterations           | 4           |
|    time_elapsed         | 12          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.008196168 |
|    clip_fraction        | 0.0559      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.92       |
|    explained_variance   | 0.232       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0214     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00538    |
|    value_loss           | 0.023       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 38.4        |
|    ep_rew_mean          | 0.411       |
| time/                   |             |
|    fps                  | 641         |
|    iterations           | 5           |
|    time_elapsed         | 15          |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.011558556 |
|    clip_fraction        | 0.0826      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.91       |
|    explained_variance   | 0.147       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0229     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00825    |
|    value_loss           | 0.0217      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 39.9        |
|    ep_rew_mean          | 0.417       |
| time/                   |             |
|    fps                  | 634         |
|    iterations           | 6           |
|    time_elapsed         | 19          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.011980408 |
|    clip_fraction        | 0.131       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.88       |
|    explained_variance   | 0.175       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00711     |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.012      |
|    value_loss           | 0.0305      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 35.1         |
|    ep_rew_mean          | 0.459        |
| time/                   |              |
|    fps                  | 625          |
|    iterations           | 7            |
|    time_elapsed         | 22           |
|    total_timesteps      | 14336        |
| train/                  |              |
|    approx_kl            | 0.0109313475 |
|    clip_fraction        | 0.0873       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.84        |
|    explained_variance   | -0.0278      |
|    learning_rate        | 0.0003       |
|    loss                 | 0.017        |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00955     |
|    value_loss           | 0.0252       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34.8        |
|    ep_rew_mean          | 0.429       |
| time/                   |             |
|    fps                  | 613         |
|    iterations           | 8           |
|    time_elapsed         | 26          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.009979235 |
|    clip_fraction        | 0.0868      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.81       |
|    explained_variance   | -0.0638     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.000301   |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00835    |
|    value_loss           | 0.0357      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 39.9       |
|    ep_rew_mean          | 0.366      |
| time/                   |            |
|    fps                  | 610        |
|    iterations           | 9          |
|    time_elapsed         | 30         |
|    total_timesteps      | 18432      |
| train/                  |            |
|    approx_kl            | 0.00744375 |
|    clip_fraction        | 0.0397     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.83      |
|    explained_variance   | 0.0986     |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0123     |
|    n_updates            | 80         |
|    policy_gradient_loss | -0.00496   |
|    value_loss           | 0.0195     |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 36.1         |
|    ep_rew_mean          | 0.348        |
| time/                   |              |
|    fps                  | 608          |
|    iterations           | 10           |
|    time_elapsed         | 33           |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0063435845 |
|    clip_fraction        | 0.0438       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.78        |
|    explained_variance   | 0.0804       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.012        |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.00517     |
|    value_loss           | 0.0219       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 40.2        |
|    ep_rew_mean          | 0.386       |
| time/                   |             |
|    fps                  | 606         |
|    iterations           | 11          |
|    time_elapsed         | 37          |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.010453531 |
|    clip_fraction        | 0.0733      |
